country,country_code,type,ticker,yield,date
AU,AU,5Y,AU5Y,5.135,2010-02-28
AU,AU,5Y,AU5Y,5.515,2010-03-31
AU,AU,5Y,AU5Y,5.512,2010-04-30
AU,AU,5Y,AU5Y,5.01,2010-05-31
AU,AU,5Y,AU5Y,4.695,2010-06-30
AU,AU,5Y,AU5Y,4.765,2010-07-31
AU,AU,5Y,AU5Y,4.398,2010-08-31
AU,AU,5Y,AU5Y,4.863,2010-09-30
AU,AU,5Y,AU5Y,4.972,2010-10-31
AU,AU,5Y,AU5Y,5.13,2010-11-30
AU,AU,5Y,AU5Y,5.335,2010-12-31
AU,AU,5Y,AU5Y,5.128,2011-01-31
AU,AU,5Y,AU5Y,5.205,2011-02-28
AU,AU,5Y,AU5Y,5.25,2011-03-31
AU,AU,5Y,AU5Y,5.265,2011-04-30
AU,AU,5Y,AU5Y,5.012,2011-05-31
AU,AU,5Y,AU5Y,4.885,2011-06-30
AU,AU,5Y,AU5Y,4.508,2011-07-31
AU,AU,5Y,AU5Y,3.928,2011-08-31
AU,AU,5Y,AU5Y,3.81,2011-09-30
AU,AU,5Y,AU5Y,4.065,2011-10-31
AU,AU,5Y,AU5Y,3.307,2011-11-30
AU,AU,5Y,AU5Y,3.313,2011-12-31
AU,AU,5Y,AU5Y,3.342,2012-01-31
AU,AU,5Y,AU5Y,3.697,2012-02-29
AU,AU,5Y,AU5Y,3.56,2012-03-31
AU,AU,5Y,AU5Y,3.132,2012-04-30
AU,AU,5Y,AU5Y,2.29,2012-05-31
AU,AU,5Y,AU5Y,2.642,2012-06-30
AU,AU,5Y,AU5Y,2.675,2012-07-31
AU,AU,5Y,AU5Y,2.595,2012-08-31
AU,AU,5Y,AU5Y,2.608,2012-09-30
AU,AU,5Y,AU5Y,2.723,2012-10-31
AU,AU,5Y,AU5Y,2.76,2012-11-30
AU,AU,5Y,AU5Y,2.842,2012-12-31
AU,AU,5Y,AU5Y,3.003,2013-01-31
AU,AU,5Y,AU5Y,2.928,2013-02-28
AU,AU,5Y,AU5Y,3.024,2013-03-31
AU,AU,5Y,AU5Y,2.741,2013-04-30
AU,AU,5Y,AU5Y,2.817,2013-05-31
AU,AU,5Y,AU5Y,3.058,2013-06-30
AU,AU,5Y,AU5Y,2.905,2013-07-31
AU,AU,5Y,AU5Y,3.105,2013-08-31
AU,AU,5Y,AU5Y,3.263,2013-09-30
AU,AU,5Y,AU5Y,3.419,2013-10-31
AU,AU,5Y,AU5Y,3.522,2013-11-30
AU,AU,5Y,AU5Y,3.474,2013-12-31
AU,AU,5Y,AU5Y,3.321,2014-01-31
AU,AU,5Y,AU5Y,3.302,2014-02-28
AU,AU,5Y,AU5Y,3.448,2014-03-31
AU,AU,5Y,AU5Y,3.33,2014-04-30
AU,AU,5Y,AU5Y,3.108,2014-05-31
AU,AU,5Y,AU5Y,2.968,2014-06-30
AU,AU,5Y,AU5Y,2.969,2014-07-31
AU,AU,5Y,AU5Y,2.841,2014-08-31
AU,AU,5Y,AU5Y,3.016,2014-09-30
AU,AU,5Y,AU5Y,2.844,2014-10-31
AU,AU,5Y,AU5Y,2.586,2014-11-30
AU,AU,5Y,AU5Y,2.329,2014-12-31
AU,AU,5Y,AU5Y,2.09,2015-01-31
AU,AU,5Y,AU5Y,1.967,2015-02-28
AU,AU,5Y,AU5Y,1.863,2015-03-31
AU,AU,5Y,AU5Y,2.125,2015-04-30
AU,AU,5Y,AU5Y,2.128,2015-05-31
AU,AU,5Y,AU5Y,2.42,2015-06-30
AU,AU,5Y,AU5Y,2.195,2015-07-31
AU,AU,5Y,AU5Y,2.091,2015-08-31
AU,AU,5Y,AU5Y,2.107,2015-09-30
AU,AU,5Y,AU5Y,2.093,2015-10-31
AU,AU,5Y,AU5Y,2.31,2015-11-30
AU,AU,5Y,AU5Y,2.314,2015-12-31
AU,AU,5Y,AU5Y,2.16,2016-01-31
AU,AU,5Y,AU5Y,1.962,2016-02-29
AU,AU,5Y,AU5Y,2.099,2016-03-31
AU,AU,5Y,AU5Y,2.064,2016-04-30
AU,AU,5Y,AU5Y,1.855,2016-05-31
AU,AU,5Y,AU5Y,1.666,2016-06-30
AU,AU,5Y,AU5Y,1.573,2016-07-31
AU,AU,5Y,AU5Y,1.629,2016-08-31
AU,AU,5Y,AU5Y,1.687,2016-09-30
AU,AU,5Y,AU5Y,1.962,2016-10-31
AU,AU,5Y,AU5Y,2.265,2016-11-30
AU,AU,5Y,AU5Y,2.33,2016-12-31
AU,AU,5Y,AU5Y,2.236,2017-01-31
AU,AU,5Y,AU5Y,2.275,2017-02-28
AU,AU,5Y,AU5Y,2.259,2017-03-31
AU,AU,5Y,AU5Y,2.128,2017-04-30
AU,AU,5Y,AU5Y,1.92,2017-05-31
AU,AU,5Y,AU5Y,2.192,2017-06-30
AU,AU,5Y,AU5Y,2.186,2017-07-31
AU,AU,5Y,AU5Y,2.249,2017-08-31
AU,AU,5Y,AU5Y,2.368,2017-09-30
AU,AU,5Y,AU5Y,2.201,2017-10-31
AU,AU,5Y,AU5Y,2.146,2017-11-30
AU,AU,5Y,AU5Y,2.358,2017-12-31
AU,AU,5Y,AU5Y,2.413,2018-01-31
AU,AU,5Y,AU5Y,2.37,2018-02-28
AU,AU,5Y,AU5Y,2.333,2018-03-31
AU,AU,5Y,AU5Y,2.436,2018-04-30
AU,AU,5Y,AU5Y,2.318,2018-05-31
AU,AU,5Y,AU5Y,2.29,2018-06-30
AU,AU,5Y,AU5Y,2.284,2018-07-31
AU,AU,5Y,AU5Y,2.147,2018-08-31
AU,AU,5Y,AU5Y,2.241,2018-09-30
AU,AU,5Y,AU5Y,2.17,2018-10-31
AU,AU,5Y,AU5Y,2.205,2018-11-30
AU,AU,5Y,AU5Y,1.919,2018-12-31
AU,AU,5Y,AU5Y,1.889,2019-01-31
AU,AU,5Y,AU5Y,1.742,2019-02-28
AU,AU,5Y,AU5Y,1.462,2019-03-31
AU,AU,5Y,AU5Y,1.388,2019-04-30
AU,AU,5Y,AU5Y,1.171,2019-05-31
AU,AU,5Y,AU5Y,1.013,2019-06-30
AU,AU,5Y,AU5Y,0.869,2019-07-31
AU,AU,5Y,AU5Y,0.687,2019-08-31
