Date,US_10Y,US_30Y,US_5Y,Germany_5Y,Germany_10Y,UK_5Y,UK_10Y,US_CPI,Germany_CPI,France_CPI,Italy_CPI,Spain_CPI,Poland_CPI,UK_CPI_YoY
2017-08-01,1.76,1.87,1.58,N/A,N/A,N/A,N/A,1.92812155729698,1.5841919363907664,0.9047524358719361,1.1964107676969205,1.6198052896700732,1.8898912721990513,2.9
2017-09-01,1.84,1.91,1.68,N/A,N/A,N/A,N/A,2.1805652303711787,1.6831853711461786,0.9866454056208784,1.0989010989011172,1.7925118728419287,2.3007372009379745,3.0
2017-10-01,1.88,1.94,1.79,N/A,N/A,N/A,N/A,2.020757753132485,1.2845680909018276,1.056092457905744,1.0000000000000009,1.57063962623456,2.289449867054816,3.0
2017-11-01,1.86,1.93,1.73,N/A,N/A,N/A,N/A,2.172493864295566,1.5919726851630678,1.17588440458396,0.9009009009008917,1.665311831121974,2.6960757253820633,3.1
2017-12-01,1.96,1.97,1.86,N/A,N/A,N/A,N/A,2.129930719552253,1.3833658213203481,1.1922503725782407,0.8973080757726848,1.1121170285678383,2.1897788401086915,3.0
2018-01-01,2.11,2.08,1.98,N/A,N/A,N/A,N/A,2.151318868063945,1.3916165093702082,1.3345284334229657,0.8946322067594492,0.5749299726802048,2.100159466842899,3.0
2018-02-01,2.12,2.14,2.04,N/A,N/A,N/A,N/A,2.263468931091861,1.086972630064742,1.183726250870376,0.4950495049504955,1.073545921982122,1.529789147062921,2.7
2018-03-01,2.05,2.1,1.92,N/A,N/A,N/A,N/A,2.3309497646499366,1.4793392422761897,1.561727784916478,0.7920792079207928,1.2138181205492815,1.5310218526492836,2.5
2018-04-01,2.17,2.14,2.1,N/A,N/A,N/A,N/A,2.4709963021052994,1.27699696514334,1.6393442622950838,0.4930966469427922,1.0792684064151237,1.6867453235592578,2.4
2018-05-01,2.07,2.15,2.03,N/A,N/A,N/A,N/A,2.781921607842497,2.062818586287163,2.0234922515052878,0.9881422924901129,2.051583282827929,1.927708941210593,2.4
2018-06-01,2.11,2.12,2.06,N/A,N/A,N/A,N/A,2.8075506935940187,1.8609046485893677,2.0232925384919165,1.2858555885262302,2.274561553370602,2.1721619722416374,2.4
2018-07-01,2.12,2.13,2.0,N/A,N/A,N/A,N/A,2.854124785561929,1.853641977777376,2.287808259879176,1.4822134387351804,2.245963504205317,2.0950825352042957,2.5
2018-08-01,2.08,2.12,1.98,N/A,N/A,N/A,N/A,2.6429238568742575,1.85183561024429,2.2563799389102357,1.5763546798029493,2.1886149790028675,2.177417197613152,2.7
2018-09-01,2.14,2.15,2.03,N/A,N/A,N/A,N/A,2.332055105808828,1.9474848881052997,2.200730287180508,1.383399209486158,2.259765690409532,2.008030147094364,2.4
2018-10-01,2.05,2.13,1.9,N/A,N/A,N/A,N/A,2.492032470218053,2.341463033971891,2.208419599723932,1.5841584158415856,2.2620424456253785,1.9184633438572574,2.4
2018-11-01,1.97,2.06,1.77,N/A,N/A,N/A,N/A,2.147328577667773,2.0568563510483084,1.8910666797990805,1.5873015873016039,1.6860280408789619,1.4319795074076547,2.3
2018-12-01,1.71,1.91,1.51,N/A,N/A,N/A,N/A,2.0023809043401064,1.559486674248256,1.590574374079523,1.0869565217391353,1.184080703553514,1.1904750297618838,2.1
2019-01-01,1.85,1.85,1.7,N/A,N/A,N/A,N/A,1.4875893578291333,1.3725163453149891,1.23832923832925,0.886699507389177,0.9795394260201373,0.6329107772692355,1.8
2019-02-01,1.95,1.92,1.84,N/A,N/A,N/A,N/A,1.5188615351321877,1.4662260756022283,1.3173417223751427,0.9852216748768461,1.0903782598849165,1.2688330223926014,1.9
